GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS394203117	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	10:08:00	obsr227469	S29147299	Traveling	P22	EBIRD	70	1.609		3	1	G1709251	0	1	0		<br />Submitted from eBird Android 1.0.3-beta6		
URN:CornellLabOfOrnithology:EBIRD:OBS406001483	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	17:00:00	obsr535500	S29837138	Traveling	P22	EBIRD	100	2.414		3	1	G1774406	0	1	0		Tom Wurster, Liga Auzins, and Amy Patten (in part). chilly 62 F with NW wind to 10+ mph, sufficient to add 2-3 inch chop to surface of small impoundment, clear,  Coverage limited to northern third of pond to north of parking area, btw Slough Trail dike and railroad tracks, in focused search for previously reported Little Stint.  <br />Submitted from eBird for iOS, version 1.1.5 Build 44	Alt plumage. Found by Amy.	
URN:CornellLabOfOrnithology:EBIRD:OBS394869171	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			12				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-24	15:28:00	obsr149858	S29188723	Traveling	P22	EBIRD	164	2.092		1	1		0	1	0		<br />Submitted from eBird Android 1.0.4		
URN:CornellLabOfOrnithology:EBIRD:OBS396900319	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-30	16:43:00	obsr287486	S29318980	Traveling	P22	EBIRD	68	2.414		1	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS396147329	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			3				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-28	07:21:00	obsr430761	S29272398	Traveling	P22	EBIRD	293	1.931		3	1	G1721510	1	1	0		Clear, 4-7 mph NW wind, 53*F at start; Tom Edell, Maggie Smith, Herb Elliott. We parked outside the main parking lot and walked the trail past the bathroom and along the dike west of the railroad tracks to the far end of the first ponds and then a short distance to the right to the left bend. After retracing or path we walked around the marsh west of the original trail and over the bridge leading back to the parking lot.  After eating and shedding some clothes we joined Jim Lomax and John Luther who had just arrived and walked back to the furthest point reached earlier. Our goal was to locate the Little Stint that was present here for several days, but last reported on 4/26. Submitted from eBird Android 1.0.2-beta4		
URN:CornellLabOfOrnithology:EBIRD:OBS394829705	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	17:00:00	obsr100605	S29186253	Traveling	P22	EBIRD	100	2.414		3	1	G1774406	0	1	0		Tom Wurster, Liga Auzins, and Amy Patten (in part). chilly 62 F with NW wind to 10+ mph, sufficient to add 2-3 inch chop to surface of small impoundment, clear,  Coverage limited to northern third of pond to north of parking area, btw Slough Trail dike and railroad tracks, in focused search for previously reported Little Stint.  <br />Submitted from eBird for iOS, version 1.1.5 Build 44	Alt plumage. Found by Amy.	
URN:CornellLabOfOrnithology:EBIRD:OBS394388015	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	13:26:00	obsr341712	S29158582	Traveling	P22	EBIRD	115	1.448		2	1	G3015400	0	1	0		<br />Submitted from eBird Android 1.0.2		
URN:CornellLabOfOrnithology:EBIRD:OBS394795267	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-24	15:42:00	obsr536389	S29184102	Traveling	P22	EBIRD	123	3.219		1	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS394852647	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-24	16:30:00	obsr240927	S29187739	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		little stint stakeout, very windy		
URN:CornellLabOfOrnithology:EBIRD:OBS394208858	2019-05-15 16:32:52.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			X				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	08:36:00	obsr321577	S29147611	Traveling	P22	EBIRD	158	3.219		1	1		0	1	0		<br />Submitted from eBird Android 1.0.4		
