GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS751167610	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr296149	S55811457	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
URN:CornellLabOfOrnithology:EBIRD:OBS751138445	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr233870	S55809772	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
URN:CornellLabOfOrnithology:EBIRD:OBS751236163	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr525169	S55815271	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
URN:CornellLabOfOrnithology:EBIRD:OBS751135942	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr690253	S55809655	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
URN:CornellLabOfOrnithology:EBIRD:OBS751138265	2019-05-21 00:32:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			55				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--H.A.R.D. Marsh	L1246774	H	37.6253809	-122.1395588	2019-05-04	08:34:00	obsr2455	S55809766	Traveling	P22	EBIRD	214	4.828		15	1	G4123483	1	1	0		Golden Gate Audubon Birdathon trip led by Bob Lewis.  Through first gate near visitor's center, along trail by HARD Marsh to gate near bay trail and back to visitor center along main bay trail.  Cool at start but warming during day to about 65 deg.  Slight wind at start, calm at end of trip.  Overcast - clear.	Alternate plumage.  feeding on water surface in groups	
URN:CornellLabOfOrnithology:EBIRD:OBS766673995	2019-05-26 18:29:45.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001		32			Lake Temescal	L288287	H	37.8467336	-122.2303775	2019-05-26	15:00:00	obsr172684	S56772528	Stationary	P21	EBIRD	15			2	1		1	1	0		Isn't my sighting, actually. Two friends -- separately -- texted me at the same time to ask if I could help them identify a bird at Lake Merritt that they'd never seen before. Each sent a pic, which I'll include with this submission.	Sighted separately by two friends of mine	
URN:CornellLabOfOrnithology:EBIRD:OBS762618920	2019-05-20 18:41:58.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			4				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				MLK Jr. Regional Shoreline--Arrowhead Marsh	L161083	H	37.7421628	-122.2112274	2019-05-19	11:00:00	obsr87965	S56509804	Traveling	P22	EBIRD	60	2.414		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS763911829	2019-05-21 17:57:54.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				MLK Jr. Regional Shoreline--Arrowhead Marsh	L161083	H	37.7421628	-122.2112274	2019-05-21	14:56:00	obsr230614	S56596157	Stationary	P21	EBIRD	3			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS763065862	2019-05-20 13:33:46.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			2				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				MLK Jr. Regional Shoreline--Arrowhead Marsh	L161083	H	37.7421628	-122.2112274	2019-05-20	09:47:00	obsr159439	S56537124	Traveling	P22	EBIRD	43	1.747		1	1		0	1	0			At pond on right along entrance road 	
URN:CornellLabOfOrnithology:EBIRD:OBS762636192	2019-05-19 20:14:03.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			4				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				MLK Jr. Regional Shoreline--Arrowhead Marsh	L161083	H	37.7421628	-122.2112274	2019-05-19	12:15:00	obsr288062	S56510833	Traveling	P22	EBIRD	30	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS763227023	2019-05-22 21:12:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			2				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				MLK Jr. Regional Shoreline--Arrowhead Marsh	L161083	H	37.7421628	-122.2112274	2019-05-20	09:36:00	obsr284646	S56546855	Traveling	P22	EBIRD	55	5.345		1	1		1	1	0		Overcast. 58F.	Continuing	
URN:CornellLabOfOrnithology:EBIRD:OBS767351352	2019-05-27 20:20:50.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			10				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				MLK Jr. Regional Shoreline--Arrowhead Marsh	L161083	H	37.7421628	-122.2112274	2019-05-27	08:45:00	obsr91486	S56816364	Traveling	P22	EBIRD	45	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS768729172	2019-05-30 20:40:24.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			2			Female, Adult (1); Male, Adult (1)	United States	US	California	US-CA	Alameda	US-CA-001					San Leandro Marina	L582754	H	37.695231	-122.1906281	2019-05-30	15:30:00	obsr217779	S56914039	Traveling	P22	EBIRD	120	4.828		1	1		0	1	0			Breeding plumage!	
URN:CornellLabOfOrnithology:EBIRD:OBS766228772	2019-05-26 03:17:44.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154	32			Hayward Regional Shoreline--Hayward Marsh	L2220366	H	37.6298244	-122.138958	2019-05-25	15:30:00	obsr199985	S56744251	Traveling	P22	EBIRD	120	1.609		1	1		0	1	0		Visitor's Center to tern/skimmer nesting area		
URN:CornellLabOfOrnithology:EBIRD:OBS766631598	2019-06-03 14:06:03.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			37				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline--Winton Ave. access and parking area	L470891	H	37.6465875	-122.1467042	2019-05-26	12:37:00	obsr291263	S56769685	Traveling	P22	EBIRD	90	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS767004680	2019-05-27 17:03:21.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			11				United States	US	California	US-CA	Alameda	US-CA-001		32			MLK Jr. Regional Shoreline	L2402250	H	37.7318068	-122.2070861	2019-05-27	07:04:00	obsr288062	S56793761	Traveling	P22	EBIRD	37	3.296		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS766497044	2019-05-26 13:42:10.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			7				United States	US	California	US-CA	Alameda	US-CA-001		32			MLK Jr. Regional Shoreline	L2402250	H	37.7318068	-122.2070861	2019-05-26	07:40:00	obsr276807	S56761386	Traveling	P22	EBIRD	110	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS761597638	2019-05-20 00:33:57.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			38				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2019-05-18	09:00:00	obsr217779	S56450606	Traveling	P22	EBIRD	150	11.265		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS766148937	2019-05-25 23:57:37.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			45				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2019-05-25	13:45:00	obsr761571	S56739170	Traveling	P22	EBIRD	125	4.023		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS765370093	2019-05-24 15:46:11.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			3				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2019-05-24	07:20:00	obsr276807	S56690275	Traveling	P22	EBIRD	205	6.437		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS751164013	2019-05-08 00:01:16.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			85				United States	US	California	US-CA	Alameda	US-CA-001	US-CA_154				Hayward Regional Shoreline	L225431	H	37.6419316	-122.1517012	2019-05-04	12:30:00	obsr761571	S55811246	Traveling	P22	EBIRD	135	4.828		1	1		0	1	0				
